HEA combinations,Al,Fe,Co,Cr,Ni,Cu,Si,Ti,V,W,Mo,Nb,Zr,Ta,ΔSmix,VEC,δ,Tm,ΔHmix,Ω,Δχ,Phases,Hardness
CoCrMoNbTi,0,0,20,20,0,0,0,20,0,0,20,20,0,0,13.3808668,6,6.60977017,2307,-8.32,2.4676866,0.22719155,BCC,887
AlTiVMoNb,20,0,0,0,0,0,0,20,20,0,20,20,0,0,13.3808668,4.6,3.379167433,2140.6,-10.24,2.797176121,0.227982455,BCC + FCC,885.5
FeCrAlMo0.5Nb0.5,26.66666667,26.66666667,0,26.66666667,0,0,0,0,0,0,6.666666667,13.33333333,0,0,12.52583156,5.6,6.161195326,1872.8,-8.248888889,2.843822685,0.149106971,BCC,866
NiTiCrNbTa0.5,0,0,0,12.5,12.5,0,0,12.5,0,0,0,12.5,0,50,13.4,5.76,7.02,2060,-18.1,1.52,0.21,MIP,851.3
FeCrCoNiAlTi1.0,16.7,16.7,16.7,16.7,16.7,0,0,16.7,0,0,0,0,0,0,14.64371445,6.352941176,7.391147474,1752.029412,-9.948096886,2.579007695,0.147354115,BCC + FCC,840
FeCrAlMo0.25Nb0.75,25,25,0,25,0,0,0,0,0,0,6.25,18.75,0,0,12.69446492,5.5625,6.274788964,1927.625,-8.375,2.921811097,0.14713939,BCC,831
NiTiCrNbTa1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,13.9,5.7,7.35,2140,-13,1.57,0.22,MIP,825.4
AlCrTiNbMo,20,0,0,20,0,0,0,20,0,0,20,20,0,0,13.3808668,4.8,4.898769661,2140,-8.96,3.19587667,0.226238812,BCC,813.5
FeCrAlMoSi0.10,22.5,22.5,0,22.5,0,0,10,0,0,0,22.5,0,0,0,12.19786503,5.707317073,5.940272484,1948.463415,-4.759071981,4.994060573,0.212995407,BCC,805
CoCrFeNi,0,25,25,25,25,0,0,0,0,0,0,0,0,0,11.52565132,8.25,1.176159003,1871.75,-6.25,1.629255142,0.096695398,MIP,790
TiZrAlNbCo,20,0,20,0,0,0,0,20,0,0,0,20,20,0,10.70469344,4.2,2.465721611,1478.4,-10.4,1.521713345,0.318886814,BCC + FCC,768.944
FeCrAlMoSi0.05,23.75,23.75,0,23.75,0,0,5,0,0,0,23.75,0,0,0,11.93642003,5.728395062,5.661721025,1951.691358,-4.877305289,4.776450608,0.214105541,BCC,759.5
FeCrAlMo,25,25,0,25,0,0,0,0,0,0,25,0,0,0,11.52565132,5.75,5.35548511,1955,-5,4.506529665,0.215232433,BCC,720
AlNbTaZr1.0,25,0,0,0,0,0,0,0,0,0,0,25,25,25,8.644238489,3.25,2.88947325,1743.25,-12,1.255755729,0.342625433,BCC,654
FeCuNiTiAl,20,20,0,0,20,20,0,20,0,0,0,0,0,0,13.3808668,7.2,7.09460815,1554.2,-10.4,1.999667614,0.153544782,MIP,650
FeCrCoNiAl,20,20,20,20,20,0,0,0,0,0,0,0,0,0,13.3808668,7.2,5.437822932,1684,-9.76,2.30874792,0.120565335,BCC + FCC,639.6
AlCoCrCuNiTi,16.66666667,0,16.66666667,16.66666667,16.66666667,16.66666667,0,16.66666667,0,0,0,0,0,0,14.8966882,7.16666667,6.81686737,1651.33333,-8.6666667,2.83839206,0.15099669,BCC,628
AlNbTaZr0.8,26.31578947,0,0,0,0,0,0,0,0,0,0,26.31578947,21.05263158,26.31578947,8.762525423,3.421052632,8.71936811,1835,-13.29639889,1.209292402,0.296977288,BCC,624
AlNbTaZr0.6,27.77777778,0,0,0,0,0,0,0,0,0,0,27.77777778,16.66666667,27.77777778,8.874736659,3.611111111,9.288653082,1936.944444,-14.81481481,1.160316351,0.243132527,BCC,611
NbMoTaWTi,0,0,0,0,0,0,0,20,0,20,20,20,0,20,13.38,5.8,4.72,2750,-6.5,5.66,0.11,BCC,600
AlNbTaZr0.4,29.41176471,0,0,0,0,0,0,0,0,0,0,29.41176471,11.76470588,29.41176471,8.977472593,3.823529412,7.567451084,2050.882353,-16.60899654,1.108540186,0.179663729,BCC,596
FeCoCrNiNb0.6,0,21.74,21.74,21.74,21.74,0,0,0,0,0,0,13.04,0,0,13.24158918,7.826086957,5.419276903,1986.304348,-6.189035917,1.136660404,0.116704918,BCC + FCC,566
AlNbTaZr0.2,31.25,0,0,0,0,0,0,0,0,0,0,31.25,6.25,31.25,9.066033593,4.0625,6.533095112,2179.0625,-15.75,1.053624204,0.106485837,BCC,561
CoCrFeNiMo,0,20,20,20,20,0,0,0,0,0,20,0,0,0,13.3808668,7.8,4.25436146,2076.6,-10.16,1.72666925,0.16117072,FCC,540
FeNiCrTi₀.₃Al₀.₃,20,20,0,20,20,0,0,20,0,0,0,0,0,0,13.3808668,6.2,7.09460815,1718.6,-10.72,2.14518262,0.13841965,MIP,529.5
FeCoCrNiNb0.8,0,20.83,20.83,20.83,20.83,0,0,0,0,0,0,16.67,0,0,13.35067532,7.708333333,5.937311474,2018.125,-7.173611111,1.193590219,0.120473602,BCC + FCC,526
TiZrAlNb,25,0,0,0,0,0,0,25,0,0,0,25,25,0,8.644238489,3,9.899082569,1406,-11.5,1.056852114,0.343845441,BCC,525
FeCoCrNiNb0.25,0,18.75,18.75,18.75,18.75,0,0,0,0,0,0,25,0,0,12.70766391,8.058823529,3.919978866,1923.411765,-8.221453287,1.371223577,0.107142824,FCC,519
FeCrCoNiAlTi0.5,18.18,18.18,18.18,18.18,18.18,0,0,9.09,0,0,0,0,0,0,14.69716888,6.909090909,6.44373878,1707.363636,-10.04958678,2.496959553,0.133775438,BCC + FCC,500
AlCoCrFeNi2.1Ti0.8,14.5,14.5,14.5,14.5,30.4,0,0,11.6,0,0,0,0,0,0,13.42,7.22,6.68,1790,-16.8,1.43,0.21,FCC,485
AlCoCrFeNi2.1Ti0.6,14.9,14.9,14.9,14.9,31.3,0,0,9,0,0,0,0,0,0,13.18,7.35,6.31,1765,-16,1.46,0.2,FCC,482
AlCoCrFeNi2.1Ti0.4,15.4,15.4,15.4,15.4,32.3,0,0,6.2,0,0,0,0,0,0,12.89,7.48,5.92,1740,-15.1,1.49,0.19,FCC,470
AlCoCrFeNi2.1Ti0.2,15.9,15.9,15.9,15.9,33.3,0,0,3.2,0,0,0,0,0,0,12.51,7.62,5.48,1715,-14.2,1.51,0.18,FCC,465
AlCoCrFeNiMo,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,0,0,0,0,0,16.66666667,0,0,0,14.8966882,7,5.64116938,1886,-6.7777778,4.14518666,0.17994598,FCC,463
FeCrCoNiAlTi0.8,17.28,17.28,17.28,17.28,17.28,0,0,13.79,0,0,0,0,0,0,14.87072252,6.75862069,6.803297006,1719.448276,-10.10701546,2.529870297,0.138803277,BCC + FCC,460
FeCrCoNiAlTi0.3,18.87,18.87,18.87,18.87,18.87,0,0,5.66,0,0,0,0,0,0,14.43190865,7.018867925,6.119277911,1698.54717,-9.967960128,2.459207027,0.129375365,BCC + FCC,450
AlCoCrFeNi2.1,16.4,16.4,16.4,16.4,34.4,0,0,0,0,0,0,0,0,0,13.3808668,7.2,5.437822932,1684,-9.76,2.30874792,0.120565335,FCC,450
