HEA combinations,Al,Fe,Co,Cr,Ni,Mn,Cu,Si,Ti,V,Mo,Nb,Zr,Ta,ΔSmix,VEC,δ,Tm,ΔHmix,Ω,Δχ,Phases,
TiZrAlNb,25,0,0,0,0,0,0,0,25,0,0,25,25,0,8.644238489,3,28.89908257,1406,-11.5,1.056852114,0.343845441,BCC,
TiZrAlNbCo,20,0,20,0,0,0,0,0,20,0,0,20,20,0,10.70469344,4.2,23.46572161,1478.4,-10.4,1.521713345,0.318886814,BCC + FCC,
FeCrAlMo,25,25,0,25,0,0,0,0,0,0,25,0,0,0,11.52565132,5.75,5.35548511,1955,-5,4.506529665,0.215232433,BCC,
FeCrAlMoSi0.05,24.69135802,24.69135802,0,24.69135802,0,0,0,1.234567901,0,0,24.69135802,0,0,0,11.93642003,5.728395062,5.661721025,1951.691358,-4.877305289,4.776450608,0.214105541,BCC,
FeCrAlMoSi0.10,24.3902439,24.3902439,0,24.3902439,0,0,0,2.43902439,0,0,24.3902439,0,0,0,12.19786503,5.707317073,5.940272484,1948.463415,-4.759071981,4.994060573,0.212995407,BCC,
TiVCrAlSi,20,0,0,20,0,0,0,20,20,20,0,0,0,0,13.3808668,4.4,9.570251632,1784.8,-9.28,2.573509814,0.122539789,BCC,
AlCoCrFeNiMo,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,0,0,0,0,0,16.66666667,0,0,0,14.89668823,7,5.641169382,1886,-6.777777778,4.145186655,0.17994598,FCC ,
CoCrFeNiTiNb,0,16.66666667,16.66666667,16.66666667,16.66666667,0,0,0,16.66666667,0,0,16.66666667,0,0,14.89668823,7,7.432261034,2029.666667,0.333333333,90.70593462,0.142906341,BCC,
CoCrFeNiMo,0,20,20,20,20,0,0,0,0,0,20,0,0,0,13.3808668,7.8,4.254361459,2076.6,0.16,173.666925,0.161170717,FCC ,
FeNiCrTi₀.₃Al₀.₃,20,20,0,20,20,0,0,0,20,0,0,0,0,0,13.3808668,6.2,7.09460815,1718.6,-10.72,2.14518262,0.138419652,MIP,
AlCoCrCuNiTi,16.66666667,0,16.66666667,16.66666667,16.66666667,0,16.66666667,0,16.66666667,0,0,0,0,0,14.89668823,7.166666667,6.816867374,1651.333333,-8.666666667,2.838392057,0.150996689,BCC,
CoCrMoNbTi,0,0,20,20,0,0,0,0,20,0,20,20,0,0,13.3808668,6,6.609770174,2307,-0.32,96.46768661,0.227191549,BCC,
