HEA combinations,Al,Fe,Co,Cr,Ni,Mn,Cu,Si,Ti,V,W,Mo,Nb,Hf,Zr,B,Ta,_Smix,VEC,_,Tm,_Hmix,½,__,Applied load ,Sliding Velocity,Sliding distance ,Hardness,Phases,wear rate
Al1.8CrCuFeNi_,31.03448276,17.24137931,0,17.24137931,17.24137931,0,17.24137931,0,0,0,0,0,0,0,0,0,0,13.0982195,6.96551724,5.89322603,1509.72414,-8.489893,2.32920464,0.12964325,20,0.02,36,1373,BCC + FCC,0.13
AlCoCrCuNiTi,16.66666667,0,16.66666667,16.66666667,16.66666667,0,16.66666667,0,16.66666667,0,0,0,0,0,0,0,0,14.8966882,7.16666667,6.81686737,1651.33333,-8.6666667,2.83839206,0.15099669,2,628,370,628,BCC,1.25
AlCoCrFeNi2.1Ti0.4,15.38461538,15.38461538,15.38461538,15.38461538,32.30769231,0,0,0,6.153846154,0,0,0,0,0,0,0,0,12.89,7.48,5.92,1740,-15.1,1.49,0.19,2,470,16,465,FCC ,5
AlCoCrFeNi2.1Ti0.6,14.92537313,14.92537313,14.92537313,14.92537313,31.34328358,0,0,0,8.955223881,0,0,0,0,0,0,0,0,13.18,7.35,6.31,1765,-16,1.46,0.2,2,482,16,470,FCC ,7.5
AlCoCrFeNiMo,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,0,0,0,0,0,0,16.66666667,0,0,0,0,0,14.8966882,7,5.64116938,1886,-6.7777778,4.14518666,0.17994598,20,0.3,1000,463,FCC ,0.0231
AlCrTiNbMo,20,0,0,20,0,0,0,0,20,0,0,20,20,0,0,0,0,13.3808668,4.8,4.898769661,2140,-8.96,3.19587667,0.226238812,30,0.8,1000,813.5,BCC,0.273
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,10,3.14,1000,253,BCC + FCC,0.38
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,10,3.14,1400,253,BCC + FCC,0.395
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,15,3.14,1000,253,BCC + FCC,0.4
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,15,3.14,1400,253,BCC + FCC,0.41
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,20,3.14,1400,253,BCC + FCC,0.43
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,10,3.14,1800,253,BCC + FCC,0.43
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,20,3.14,1000,253,BCC + FCC,0.435
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,15,3.14,1800,253,BCC + FCC,0.44
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,10,3.14,2200,253,BCC + FCC,0.44
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,25,3.14,1000,253,BCC + FCC,0.455
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,15,3.14,2200,253,BCC + FCC,0.455
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,25,3.14,1400,253,BCC + FCC,0.47
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,30,3.14,1000,253,BCC + FCC,0.48
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,20,3.14,2200,253,BCC + FCC,0.48
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,30,3.14,1400,253,BCC + FCC,0.49
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,20,3.14,1800,253,BCC + FCC,0.49
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,25,3.14,1800,253,BCC + FCC,0.495
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,25,3.14,2200,253,BCC + FCC,0.52
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,30,3.14,1800,253,BCC + FCC,0.54
AlCuCrMoNi,20,0,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,13.3808668,7.2,5.500646966,1819,-4,6.084949179,0.19792928,30,3.14,2200,253,BCC + FCC,0.54
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,10,3.14,1400,283,BCC + FCC,0.33
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,15,3.14,1400,283,BCC + FCC,0.34
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,10,3.14,1000,283,BCC + FCC,0.36
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,15,3.14,1000,283,BCC + FCC,0.37
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,25,3.14,1400,283,BCC + FCC,0.37
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,10,3.14,1800,283,BCC + FCC,0.37
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,20,3.14,1000,283,BCC + FCC,0.38
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,20,3.14,1400,283,BCC + FCC,0.38
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,15,3.14,1800,283,BCC + FCC,0.38
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,10,3.14,2200,283,BCC + FCC,0.38
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,25,3.14,1000,283,BCC + FCC,0.4
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,20,3.14,1800,283,BCC + FCC,0.4
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,15,3.14,2200,283,BCC + FCC,0.41
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,30,3.14,1400,283,BCC + FCC,0.42
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,20,3.14,2200,283,BCC + FCC,0.43
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,30,3.14,1000,283,BCC + FCC,0.445
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,25,3.14,1800,283,BCC + FCC,0.445
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,25,3.14,2200,283,BCC + FCC,0.46
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,30,3.14,1800,283,BCC + FCC,0.465
AlCuCrMoNiW,16.66666667,0,0,16.66666667,16.66666667,0,16.66666667,0,0,0,16.66666667,16.66666667,0,0,0,0,0,14.89668823,7,5.309905198,2131.666667,-2.777777778,11.43171855,0.262784238,30,3.14,2200,283,BCC + FCC,0.51
AlNbTaZr0.2,31.25,0,0,0,0,0,0,0,0,0,0,0,31.25,0,6.25,0,31.25,9.066033593,4.0625,6.533095112,2179.0625,-18.75,1.053624204,0.106485837,10,561,432,561,BCC,2.06
AlNbTaZr0.4,29.41176471,0,0,0,0,0,0,0,0,0,0,0,29.41176471,0,11.76470588,0,29.41176471,8.977472593,3.823529412,12.56745108,2050.882353,-16.60899654,1.108540186,0.179663729,10,596,432,596,BCC,1.85
AlNbTaZr0.6,27.77777778,0,0,0,0,0,0,0,0,0,0,0,27.77777778,0,16.66666667,0,27.77777778,8.874736659,3.611111111,18.28865308,1936.944444,-14.81481481,1.160316351,0.243132527,10,611,432,611,BCC,1.62
AlNbTaZr0.8,26.31578947,0,0,0,0,0,0,0,0,0,0,0,26.31578947,0,21.05263158,0,26.31578947,8.762525423,3.421052632,23.71936811,1835,-13.29639889,1.209292402,0.296977288,10,624,432,624,BCC,1.16
AlNbTaZr1.0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25,8.644238489,3.25,28.88947325,1743.25,-12,1.255755729,0.342625433,10,654,432,654,BCC,1.6
AlNbTiVB_.__,25,0,0,0,0,0,0,0,25,25,0,0,25,0,0,1.23,0,13.3808668,4,17.2511714,2031.2,-10.24,2.65422038,0.18051039,10,434.5,7.2,1254,BCC,2.65
AlNbTiVB_.__,25,0,0,0,0,0,0,0,25,25,0,0,25,0,0,2.44,0,13.3808668,4,17.2511714,2031.2,-10.24,2.65422038,0.18051039,10,457.1,7.2,434.5,BCC,2.5
AlNbTiVB_.__,25,0,0,0,0,0,0,0,25,25,0,0,25,0,0,3.61,0,13.3808668,4,17.2511714,2031.2,-10.24,2.65422038,0.18051039,10,487.3,7.2,457.1,BCC,2.45
CoCrFeNiMo,0,20,20,20,20,0,0,0,0,0,0,20,0,0,0,0,0,12.3403088,7.06551724,6.619945415,1343.82414,-10.3010041,1.256445117,0.116442651,30,0.1,1000,540,FCC ,0.18
CoCrMoNbTi,0,0,20,20,0,0,0,0,20,0,0,20,20,0,0,0,0,13.3808668,6,6.60977017,2307,-0.32,96.4676866,0.22719155,5,887,252,887,BCC,3.83
FeCoCrNiNb0.25,0,23.52941176,23.52941176,23.52941176,23.52941176,0,0,0,0,0,0,0,5.882352941,0,0,0,0,12.70766391,8.058823529,3.919978866,1923.411765,0.221453287,110.3712236,0.107142824,10,519,270,519,FCC ,0.641
